langs,neighbour,i
Chadian Arabic,Central Kanuri,9
Chadian Arabic,Somali,10
Chamorro,Pohnpeian,1
Chamorro,Waray,2
Chamorro,Masbatenyo,3
Chamorro,Coastal-Naga Bikol,4
Chamorro,Pampanga,5
Chamorro,Maranao,6
Chamorro,Cebuano,7
Chamorro,Yapese,8
Chamorro,Kosraean,9
Chamorro,Palauan,10
Chang Naga,Temiar,1
Chang Naga,Kok Borok,2
Chang Naga,Semai,3
Chang Naga,Nez Perce,4
Chang Naga,Bodo-Mech,5
Chang Naga,Lokono,6
Chang Naga,Gwere,7
Chang Naga,Igbo,8
Chang Naga,Manipuri,9
Chang Naga,Gungu,10
Chantyal,Thao,1
Chantyal,Limbu,2
Chantyal,West Central Oromo,3
Chantyal,Bondo,4
Chantyal,Mbay,5
Chantyal,Hmong Njua,6
Chantyal,Western Parbate Kham,7
Chantyal,Hmong Daw,8
Chantyal,Mwaghavul,9
Chantyal,Akha,10
Cheke Holo,To'abaita,1
Cheke Holo,Nakanai,2
Cheke Holo,Lenakel,3
Cheke Holo,Äiwoo,4
Cheke Holo,Sie,5
Cheke Holo,Talise,6
Cheke Holo,Mele-Fila,7
Cheke Holo,Teop,8
Cheke Holo,Kómnjo,9
Cheke Holo,Terei,10
Chepang,Paiwan,1
Chepang,Agusan Manobo,2
Chepang,Rabha,3
Chepang,Central Bontoc,4
Chepang,Tetum,5
Chepang,Ho,6
Chepang,Western Parbate Kham,7
Chepang,Western Bukidnon Manobo,8
Chepang,Baram Kayan,9
Chepang,Biatah Bidayuh,10
Cherokee,Ute-Southern Paiute,1
Cherokee,Seneca,2
Cherokee,Tohono O'odham,3
Cherokee,Yaqui,4
Cherokee,Jicarilla Apache,5
Cherokee,Comanche,6
Cherokee,Klamath-Modoc,7
Cherokee,Rendille,8
Cherokee,Central Carrier,9
Cherokee,Navajo,10
Cheyenne,Plains Cree,1
Cheyenne,Western Apache,2
Cheyenne,Lakota,3
Cheyenne,Western Abenaki,4
Cheyenne,Wampanoag,5
Cheyenne,Kalispel-Pend d'Oreille,6
Cheyenne,Dakota,7
Cheyenne,Tuwali Ifugao,8
Cheyenne,Osage,9
Cheyenne,Eastern Canadian Inuktitut,10
Chippewa,Northwestern Ojibwa,1
Chippewa,Unami,2
Chippewa,Kalispel-Pend d'Oreille,3
Chippewa,Dakota,4
Chippewa,Huron-Wyandot,5
Chippewa,Nez Perce,6
Chippewa,Yámana,7
Chippewa,Lakota,8
Chippewa,Western Abenaki,9
Chippewa,Eastern Ojibwa,10
Choctaw,Creek,1
Choctaw,Dakota,2
Choctaw,Osage,3
Choctaw,Koasati,4
Choctaw,East Limba,5
Choctaw,Lakota,6
Choctaw,Manx,7
Choctaw,Unami,8
Choctaw,Mískito,9
Choctaw,Alabama,10
Chung,Ncane-Mungong,1
Chung,Bafanji,2
Chung,Bassa,3
Chung,Shatt,4
Chung,Bongo,5
Chung,Belanda Bor,6
Chung,Reel,7
Chung,Talinga-Bwisi,8
Chung,Igbo,9
Chung,Fore,10
Chuukese,Pohnpeian,1
Chuukese,Marshallese,2
Chuukese,Mokilese,3
Chuukese,Carolinian,4
Chuukese,Kapingamarangi,5
Chuukese,Woleaian,6
Chuukese,Palauan,7
Chuukese,Puluwatese,8
Chuukese,Yapese,9
Chuukese,Rennell-Bellona,10
Classical Nahuatl,Ute-Southern Paiute,1
Classical Nahuatl,Lycian A,2
Classical Nahuatl,Seneca,3
Classical Nahuatl,Central Carrier,4
Classical Nahuatl,Ho-Chunk,5
Classical Nahuatl,Western Huasteca Nahuatl,6
Classical Nahuatl,Khwarezmian,7
Classical Nahuatl,Western Tlacolula Valley Zapotec,8
Classical Nahuatl,Northeast Maidu,9
Classical Nahuatl,Klamath-Modoc,10
Classical Syriac,Modern Hebrew,1
Classical Syriac,Neo-Mandaic,2
Classical Syriac,Tamambo,3
Classical Syriac,Ancient Hebrew,4
Classical Syriac,Latin,5
Classical Syriac,Geez,6
Classical Syriac,Standard Arabic,7
Classical Syriac,Old English,8
Classical Syriac,Dzongkha,9
Classical Syriac,Welsh,10
Coast Miwok,Havasupai-Walapai-Yavapai,1
Coast Miwok,Cahuilla,2
Coast Miwok,Tonkawa,3
Coast Miwok,Upper Chehalis,4
Coast Miwok,Yana,5
Coast Miwok,Comanche,6
Coast Miwok,Shoshoni,7
Coast Miwok,Koasati,8
Coast Miwok,Atakapa,9
Coast Miwok,Alabama,10
Coastal-Naga Bikol,Chamorro,1
Coastal-Naga Bikol,Pampanga,2
Coastal-Naga Bikol,Hiligaynon,3
Coastal-Naga Bikol,Waray,4
Coastal-Naga Bikol,Cebuano,5
Coastal-Naga Bikol,Iloko,6
Coastal-Naga Bikol,Masbatenyo,7
Coastal-Naga Bikol,Maranao,8
Coastal-Naga Bikol,Kosraean,9
Coastal-Naga Bikol,Pangasinan,10
Comanche,Zuni,1
Comanche,Seneca,2
Comanche,Creek,3
Comanche,Alabama,4
Comanche,Koasati,5
Comanche,Tunica,6
Comanche,Ute-Southern Paiute,7
Comanche,Havasupai-Walapai-Yavapai,8
Comanche,Northwest Sahaptin,9
Comanche,Navajo,10
Cornish,Western Flemish,1
Cornish,Manx,2
Cornish,French,3
Cornish,Dutch,4
Cornish,Scottish Gaelic,5
Cornish,Portuguese,6
Cornish,Breton,7
Cornish,Spanish,8
Cornish,Irish,9
Cornish,Galician,10
Creek,Alabama,1
Creek,Koasati,2
Creek,Comanche,3
Creek,Northwest Sahaptin,4
Creek,Shoshoni,5
Creek,Eastern Ojibwa,6
Creek,Tunica,7
Creek,Choctaw,8
Creek,Havasupai-Walapai-Yavapai,9
Creek,Cahuilla,10
Czech,Dutch,1
Czech,Ukrainian,2
Czech,Polish,3
Czech,Hungarian,4
Czech,Russian,5
Czech,French,6
Czech,Italian,7
Czech,Swedish,8
Czech,Danish,9
Czech,Lithuanian,10
Daakie,Paama,1
Daakie,Vurës,2
Daakie,Nafsan,3
Daakie,Lenakel,4
Daakie,Mali,5
Daakie,Äiwoo,6
Daakie,Talise,7
Daakie,Misima-Paneati,8
Daakie,Sie,9
Daakie,Sinaugoro,10
Dagbani,Mampruli,1
Dagbani,Gikyode,2
Dagbani,Buli,3
Dagbani,Anufo,4
Dagbani,Mungaka,5
Dagbani,Tampulma,6
Dagbani,Mbay,7
Dagbani,Tumulung Sisaala,8
Dagbani,Mandinka,9
Dagbani,Bokobaru,10
Dakaka,Kalamang,1
Dakaka,Mele-Fila,2
Dakaka,Kwamera,3
Dakaka,Teanu,4
Dakaka,Teop,5
Dakaka,Lenakel,6
Dakaka,Aneityum,7
Dakaka,Lou,8
Dakaka,Wersing,9
Dakaka,Sie,10
Dakota,Lakota,1
Dakota,Kalispel-Pend d'Oreille,2
Dakota,Choctaw,3
Dakota,Eastern Ojibwa,4
Dakota,Tonkawa,5
Dakota,Hidatsa,6
Dakota,Chippewa,7
Dakota,Koasati,8
Dakota,Creek,9
Dakota,Cheyenne,10
Danish,Finnish,1
Danish,Afrikaans,2
Danish,Swedish,3
Danish,Polish,4
Danish,Hungarian,5
Danish,Norwegian,6
Danish,Slovenian,7
Danish,Russian,8
Danish,Dutch,9
Danish,French,10
Dehu,Nengone,1
Dehu,Futuna-Aniwa,2
Dehu,Mele-Fila,3
Dehu,'Are'are,4
Dehu,Aneityum,5
Dehu,Tiri-Mea,6
Dehu,Mangareva,7
Dehu,Xârâcùù,8
Dehu,Tetum,9
Dehu,Lou,10
Dena'ina,Tanacross,1
Dena'ina,Aleut,2
Dena'ina,Central Siberian Yupik,3
Dena'ina,Kwak'wala,4
Dena'ina,Ahtena,5
Dena'ina,Mi'kmaq,6
Dena'ina,Bella Coola,7
Dena'ina,Nuu-chah-nulth,8
Dena'ina,Haisla,9
Dena'ina,Upper Chehalis,10
Devon,Essex,1
Devon,South Yorkshire English,2
Devon,Sussex,3
Devon,Ulster,4
Devon,Scots,5
Devon,Wiltshire-Hampshire,6
Devon,Midland American English,7
Devon,Pennsylvania German,8
Devon,Western Victoria,9
Devon,Breton,10
Dhalandji,Dhargari,1
Dhalandji,Yinggarda,2
Dhalandji,Bayungu,3
Dhalandji,Wariyangga,4
Dhalandji,Djiwarli,5
Dhalandji,Yuwaalaraay-Gamilaraay,6
Dhalandji,Tweed-Albert,7
Dhalandji,Nugunu,8
Dhalandji,Muruwari,9
Dhalandji,Western Victoria,10
Dhargari,Dhalandji,1
Dhargari,Wariyangga,2
Dhargari,Yinggarda,3
Dhargari,Bayungu,4
Dhargari,Djiwarli,5
Dhargari,Yuwaalaraay-Gamilaraay,6
Dhargari,Tweed-Albert,7
Dhargari,Nugunu,8
Dhargari,Western Victoria,9
Dhargari,Muruwari,10
Didinga,Ndau,1
Didinga,Masai,2
Didinga,Tangale,3
Didinga,Kinshasa Lingala,4
Didinga,Katë,5
Didinga,Rendille,6
Didinga,Sidamo,7
Didinga,South-Central Koongo,8
Didinga,Gaam,9
Didinga,Gade,10
Dimasa,Mara Chin,1
Dimasa,Mising-Padam-Miri-Minyong,2
Dimasa,East-Central Tangkhul Naga,3
Dimasa,Mundari,4
Dimasa,Southern Jinghpaw,5
Dimasa,Mizo,6
Dimasa,Tetum,7
Dimasa,Sadri,8
Dimasa,Sora,9
Dimasa,Bondo,10
Diriku-Shambyu,Kxoe,1
Diriku-Shambyu,Swati,2
Diriku-Shambyu,Kwangali,3
Diriku-Shambyu,Gaam,4
Diriku-Shambyu,Nandi,5
Diriku-Shambyu,East Taa,6
Diriku-Shambyu,Tangale,7
Diriku-Shambyu,Karamojong,8
Diriku-Shambyu,Ndau,9
Diriku-Shambyu,Nyankole,10
Djinang,Yir-Yoront,1
Djinang,Thayore,2
Djinang,Wubuy,3
Djinang,Kumbainggar,4
Djinang,Wersing,5
Djinang,Wik-Mungkan,6
Djinang,Tiwi,7
Djinang,Warlpiri,8
Djinang,Oksapmin,9
Djinang,Martu Wangka,10
Djiwarli,Bayungu,1
Djiwarli,Yinggarda,2
Djiwarli,Dhalandji,3
Djiwarli,Dhargari,4
Djiwarli,Wariyangga,5
Djiwarli,Yuwaalaraay-Gamilaraay,6
Djiwarli,Tweed-Albert,7
Djiwarli,Muruwari,8
Djiwarli,Kumbainggar,9
Djiwarli,Adnyamathanha,10
Doromu-Koki,Grass Koiari,1
Doromu-Koki,Sinaugoro,2
Doromu-Koki,Mali,3
Doromu-Koki,Talise,4
Doromu-Koki,Fuyug,5
Doromu-Koki,Misima-Paneati,6
Doromu-Koki,To'abaita,7
Doromu-Koki,Mag-Anchi Ayta,8
Doromu-Koki,Äiwoo,9
Doromu-Koki,Paama,10
Dutch,Italian,1
Dutch,French,2
Dutch,Czech,3
Dutch,Polish,4
Dutch,Hungarian,5
Dutch,Swedish,6
Dutch,Danish,7
Dutch,Spanish,8
Dutch,Afrikaans,9
Dutch,Finnish,10
Dzongkha,Latin,1
Dzongkha,Geez,2
Dzongkha,Modern Greek,3
Dzongkha,Goan Konkani,4
Dzongkha,Middle High German,5
Dzongkha,Old English,6
Dzongkha,Eastern Armenian,7
Dzongkha,Classical Syriac,8
Dzongkha,Old French,9
Dzongkha,Modern Hebrew,10
East Limba,Zigula-Mushungulu,1
East Limba,Yoruba,2
East Limba,Bassa,3
East Limba,Tsonga,4
East Limba,Nupe-Nupe-Tako,5
East Limba,Northern Grebo,6
East Limba,Zande,7
East Limba,Mískito,8
East Limba,Akan,9
East Limba,Ndau,10
East Taa,Kxoe,1
East Taa,Nandi,2
East Taa,Diriku-Shambyu,3
East Taa,Lega-Shabunda,4
East Taa,Tangale,5
East Taa,Gaam,6
East Taa,Yagaria,7
East Taa,Yao,8
East Taa,Naro,9
East Taa,Kiliwa,10
East-Central Tangkhul Naga,Mara Chin,1
East-Central Tangkhul Naga,Dimasa,2
East-Central Tangkhul Naga,Mizo,3
East-Central Tangkhul Naga,Mising-Padam-Miri-Minyong,4
East-Central Tangkhul Naga,Khasi,5
East-Central Tangkhul Naga,Sadri,6
East-Central Tangkhul Naga,Mundari,7
East-Central Tangkhul Naga,Southern Jinghpaw,8
East-Central Tangkhul Naga,Bobangi,9
East-Central Tangkhul Naga,Lisu,10
Eastern Armenian,Portuguese,1
Eastern Armenian,Sicilian,2
Eastern Armenian,Georgian,3
Eastern Armenian,Western Flemish,4
Eastern Armenian,Dutch,5
Eastern Armenian,Italian,6
Eastern Armenian,Modern Greek,7
Eastern Armenian,Belarusian,8
Eastern Armenian,Serbian-Croatian-Bosnian,9
Eastern Armenian,French,10
Eastern Balochi,Katë,1
Eastern Balochi,Khwarezmian,2
Eastern Balochi,South-Central Koongo,3
Eastern Balochi,Tiv,4
Eastern Balochi,Atayal,5
Eastern Balochi,Kurukh,6
Eastern Balochi,Wiltshire-Hampshire,7
Eastern Balochi,Anufo,8
Eastern Balochi,Jewish Babylonian Aramaic,9
Eastern Balochi,Western Temne,10
Eastern Canadian Inuktitut,Plains Cree,1
Eastern Canadian Inuktitut,Malecite-Passamaquoddy,2
Eastern Canadian Inuktitut,Western Abenaki,3
Eastern Canadian Inuktitut,Western Canadian Inuktitut,4
Eastern Canadian Inuktitut,Awa,5
Eastern Canadian Inuktitut,Isthmus Zapotec,6
Eastern Canadian Inuktitut,Wampanoag,7
Eastern Canadian Inuktitut,Ipai,8
Eastern Canadian Inuktitut,Cheyenne,9
Eastern Canadian Inuktitut,Klamath-Modoc,10
Eastern Ojibwa,Squamish,1
Eastern Ojibwa,Alabama,2
Eastern Ojibwa,Upper Chehalis,3
Eastern Ojibwa,Northwest Sahaptin,4
Eastern Ojibwa,North Alaskan Inupiatun,5
Eastern Ojibwa,Creek,6
Eastern Ojibwa,Koasati,7
Eastern Ojibwa,Cahuilla,8
Eastern Ojibwa,Lakota,9
Eastern Ojibwa,Bella Coola,10
Eastern Panjabi,Sindhi,1
Eastern Panjabi,Hindustani,2
Eastern Panjabi,Urdu,3
Eastern Panjabi,Hindi,4
Eastern Panjabi,Northern Pashto,5
Eastern Panjabi,Telugu,6
Eastern Panjabi,Western Panjabi,7
Eastern Panjabi,Kashmiri,8
Eastern Panjabi,Southern Hindko,9
Eastern Panjabi,Marathi,10
Eastern Yiddish,Serbian-Croatian-Bosnian,1
Eastern Yiddish,Slovenian,2
Eastern Yiddish,Moselle Franconian,3
Eastern Yiddish,Slovak,4
Eastern Yiddish,Galician,5
Eastern Yiddish,Upper Sorbian,6
Eastern Yiddish,Hungarian,7
Eastern Yiddish,Finnish,8
Eastern Yiddish,Polish,9
Eastern Yiddish,Spanish,10
Efik,Akan,1
Efik,Ibibio,2
Efik,Mungaka,3
Efik,Tee,4
Efik,Ewe,5
Efik,Nyanja,6
Efik,Yoruba,7
Efik,Nupe-Nupe-Tako,8
Efik,Bobangi,9
Efik,Mota,10
Egyptian,Akkadian,1
Egyptian,Sumerian,2
Egyptian,Ancient Hebrew,3
Egyptian,Assyrian Neo-Aramaic,4
Egyptian,Sabaic,5
Egyptian,Old Khmer,6
Egyptian,Neo-Mandaic,7
Egyptian,Old English,8
Egyptian,Old French,9
Egyptian,Leh Ladakhi,10
Egyptian Arabic,Turkish,1
Egyptian Arabic,Standard Arabic,2
Egyptian Arabic,Western Farsi,3
Egyptian Arabic,Bulgarian,4
Egyptian Arabic,Central Kurdish,5
Egyptian Arabic,Andalusian Arabic,6
Egyptian Arabic,Ladino,7
Egyptian Arabic,Judeo-Yemeni Arabic,8
Egyptian Arabic,Sindhi,9
Egyptian Arabic,Urdu,10
Enga,Telefol,1
Enga,Fore,2
Enga,Ata,3
Enga,Selepet,4
Enga,Yagaria,5
Enga,West Kewa,6
Enga,Fuyug,7
Enga,Terei,8
Enga,Nakanai,9
Enga,Kwaio,10
Esan,Bini,1
Esan,Igbo,2
Esan,Tee,3
Esan,Urhobo,4
Esan,Izon,5
Esan,Ibibio,6
Esan,Gbari,7
Esan,Ga,8
Esan,Abua,9
Esan,Central Dagaare,10
Essex,Devon,1
Essex,South Yorkshire English,2
Essex,Sussex,3
Essex,Scots,4
Essex,Ulster,5
Essex,Wiltshire-Hampshire,6
Essex,Midland American English,7
Essex,Icelandic,8
Essex,Avestan,9
Essex,Singlish,10
Estonian,German,1
Estonian,Standard Indonesian,2
Estonian,Romanian,3
Estonian,Afrikaans,4
Estonian,Swahili,5
Estonian,Norwegian,6
Estonian,Vietnamese,7
Estonian,Finnish,8
Estonian,Danish,9
Estonian,Russian,10
Ewe,Akan,1
Ewe,Zande,2
Ewe,Mungaka,3
Ewe,Nupe-Nupe-Tako,4
Ewe,Ga,5
Ewe,Yoruba,6
Ewe,Tumulung Sisaala,7
Ewe,Nzima,8
Ewe,Tee,9
Ewe,Efik,10
Fijian,Samoan,1
Fijian,Takuu,2
Fijian,Rennell-Bellona,3
Fijian,Sa'a,4
Fijian,Rotuman,5
Fijian,Tangga,6
Fijian,Toaripi,7
Fijian,Roviana,8
Fijian,Tikopia,9
Fijian,Raluana,10
Filipino,Romanian,1
Filipino,Kirghiz,2
Filipino,Burmese,3
Filipino,Standard Indonesian,4
Filipino,Vietnamese,5
Filipino,Estonian,6
Filipino,Korean,7
Filipino,Tibetan,8
Filipino,Mandarin Chinese,9
Filipino,Northern Uzbek,10
Finnish,Danish,1
Finnish,Polish,2
Finnish,Hungarian,3
Finnish,Swedish,4
Finnish,Norwegian,5
Finnish,Afrikaans,6
Finnish,Slovenian,7
Finnish,Russian,8
Finnish,Dutch,9
Finnish,Ukrainian,10
Fore,Enga,1
Fore,Selepet,2
Fore,Telefol,3
Fore,Ncane-Mungong,4
Fore,Yagaria,5
Fore,Chung,6
Fore,Martu Wangka,7
Fore,Orokolo,8
Fore,Paiwan,9
Fore,Tetum,10
French,Italian,1
French,Spanish,2
French,Dutch,3
French,Polish,4
French,Swedish,5
French,Hungarian,6
French,Danish,7
French,Afrikaans,8
French,Portuguese,9
French,Czech,10
Futuna-Aniwa,Aneityum,1
Futuna-Aniwa,Mele-Fila,2
Futuna-Aniwa,Gela,3
Futuna-Aniwa,Roviana,4
Futuna-Aniwa,Lau,5
Futuna-Aniwa,Mailu,6
Futuna-Aniwa,Mota,7
Futuna-Aniwa,'Are'are,8
Futuna-Aniwa,Arosi,9
Futuna-Aniwa,Lenakel,10
Fuyug,Sinaugoro,1
Fuyug,Grass Koiari,2
Fuyug,Talise,3
Fuyug,Ata,4
Fuyug,Kómnjo,5
Fuyug,Doromu-Koki,6
Fuyug,Wampar,7
Fuyug,Enga,8
Fuyug,Angguruk Yali,9
Fuyug,Mali,10
Ga,Mandinka,1
Ga,Igbo,2
Ga,Gbari,3
Ga,Central Dagaare,4
Ga,Tumulung Sisaala,5
Ga,Ewe,6
Ga,Urhobo,7
Ga,Nzima,8
Ga,Ibibio,9
Ga,Bini,10
Gaam,Tangale,1
Gaam,Tuvinian,2
Gaam,Shekkacho,3
Gaam,Diriku-Shambyu,4
Gaam,Chadian Arabic,5
Gaam,Sidamo,6
Gaam,Nandi,7
Gaam,Karamojong,8
Gaam,Swati,9
Gaam,Lega-Shabunda,10
Gade,Mwaghavul,1
Gade,Anufo,2
Gade,Tangale,3
Gade,Buli,4
Gade,Mungaka,5
Gade,Tiv,6
Gade,Izon,7
Gade,Bini,8
Gade,Gikyode,9
Gade,Tumulung Sisaala,10
Galician,Serbian-Croatian-Bosnian,1
Galician,Papiamento,2
Galician,Slovenian,3
Galician,Eastern Yiddish,4
Galician,Belarusian,5
Galician,Upper Sorbian,6
Galician,Western Frisian,7
Galician,Western Flemish,8
Galician,Slovak,9
Galician,Moselle Franconian,10
Gambian Wolof,Pulaar,1
Gambian Wolof,Mandinka,2
Gambian Wolof,Chadian Arabic,3
Gambian Wolof,Anufo,4
Gambian Wolof,Central Kanuri,5
Gambian Wolof,Sidamo,6
Gambian Wolof,Wolof,7
Gambian Wolof,Bassa,8
Gambian Wolof,Abua,9
Gambian Wolof,Hausa,10
Ganda,Zande,1
Ganda,Lamba,2
Ganda,Zigula-Mushungulu,3
Ganda,Tswana,4
Ganda,Southern Sotho,5
Ganda,Nyankole,6
Ganda,Ha,7
Ganda,Karamojong,8
Ganda,Nandi,9
Ganda,Ndau,10
Garifuna,Warao,1
Garifuna,Malacca-Batavia Portuguese Creole,2
Garifuna,Yapese,3
Garifuna,Mískito,4
Garifuna,Chamorro,5
Garifuna,Pohnpeian,6
Garifuna,Bassa,7
Garifuna,Media Lengua,8
Garifuna,Pampanga,9
Garifuna,Nzima,10
Gbari,Central Dagaare,1
Gbari,Bafanji,2
Gbari,Buli,3
Gbari,Tumulung Sisaala,4
Gbari,Tee,5
Gbari,Ibibio,6
Gbari,Gikyode,7
Gbari,Mandinka,8
Gbari,Tampulma,9
Gbari,Mbay,10
Gedaged,Yabem,1
Gedaged,Wampar,2
Gedaged,Toaripi,3
Gedaged,Nakanai,4
Gedaged,Mota,5
Gedaged,Terei,6
Gedaged,Roviana,7
Gedaged,Kómnjo,8
Gedaged,Selepet,9
Gedaged,Raluana,10
Geez,Modern Hebrew,1
Geez,Old French,2
Geez,Old English,3
Geez,Dzongkha,4
Geez,Modern Greek,5
Geez,Middle High German,6
Geez,Classical Syriac,7
Geez,Tamambo,8
Geez,Latin,9
Geez,Eastern Armenian,10
Gela,Lau,1
Gela,Arosi,2
Gela,'Are'are,3
Gela,Roviana,4
Gela,Futuna-Aniwa,5
Gela,Mota,6
Gela,Toaripi,7
Gela,Mailu,8
Gela,Mele-Fila,9
Gela,Bughotu,10
Georgian,Slovak,1
Georgian,Upper Sorbian,2
Georgian,Serbian-Croatian-Bosnian,3
Georgian,Eastern Armenian,4
Georgian,Sicilian,5
Georgian,Belarusian,6
Georgian,Lithuanian,7
Georgian,Slovenian,8
Georgian,Western Flemish,9
Georgian,Eastern Yiddish,10
German,Swedish,1
German,Danish,2
German,French,3
German,Finnish,4
German,Afrikaans,5
German,Polish,6
German,Russian,7
German,Norwegian,8
German,Czech,9
German,Dutch,10
Gikyode,Tampulma,1
Gikyode,Buli,2
Gikyode,Tumulung Sisaala,3
Gikyode,Anufo,4
Gikyode,Mbay,5
Gikyode,Dagbani,6
Gikyode,Gbari,7
Gikyode,Central Dagaare,8
Gikyode,Mungaka,9
Gikyode,Mampruli,10
Gilbertese,Hawaiian,1
Gilbertese,Samoan,2
Gilbertese,Mangareva,3
Gilbertese,Roviana,4
Gilbertese,Kapingamarangi,5
Gilbertese,Tuamotuan,6
Gilbertese,Chuukese,7
Gilbertese,Mota,8
Gilbertese,Rotuman,9
Gilbertese,Tahitian,10
Gilit Mesopotamian Arabic,Levantine Arabic,1
Gilit Mesopotamian Arabic,Gulf Arabic,2
Gilit Mesopotamian Arabic,Sanaani Arabic,3
Gilit Mesopotamian Arabic,Moroccan Arabic,4
Gilit Mesopotamian Arabic,Bulgarian,5
Gilit Mesopotamian Arabic,Turkmen,6
Gilit Mesopotamian Arabic,Japanese,7
Gilit Mesopotamian Arabic,Pennsylvania German,8
Gilit Mesopotamian Arabic,Northern Uzbek,9
Gilit Mesopotamian Arabic,Pedi,10
Giryama,Nyanja,1
Giryama,Lamba,2
Giryama,Zigula-Mushungulu,3
Giryama,Tswana,4
Giryama,Kamba,5
Giryama,Zulu,6
Giryama,Ganda,7
Giryama,Ndau,8
Giryama,Nupe-Nupe-Tako,9
Giryama,Zande,10
Goan Konkani,Dzongkha,1
Goan Konkani,Eastern Armenian,2
Goan Konkani,Modern Greek,3
Goan Konkani,Sindhi,4
Goan Konkani,Yoruba,5
Goan Konkani,Hindustani,6
Goan Konkani,Geez,7
Goan Konkani,Western Neo-Aramaic,8
Goan Konkani,Portuguese,9
Goan Konkani,Latin,10
Goemai,Mwaghavul,1
Goemai,Tangale,2
Goemai,Abua,3
Goemai,Tee,4
Goemai,Belanda Bor,5
Goemai,Wersing,6
Goemai,Gbari,7
Goemai,Lega-Shabunda,8
Goemai,Bantawa,9
Goemai,Bongo,10
Grass Koiari,Sinaugoro,1
Grass Koiari,Talise,2
Grass Koiari,Doromu-Koki,3
Grass Koiari,Fuyug,4
Grass Koiari,Misima-Paneati,5
Grass Koiari,Mali,6
Grass Koiari,Lenakel,7
Grass Koiari,To'abaita,8
Grass Koiari,Kómnjo,9
Grass Koiari,Tiwi,10
Guarayu,Tetum,1
Guarayu,Lokono,2
Guarayu,Bafanji,3
Guarayu,Warao,4
Guarayu,Chung,5
Guarayu,Agusan Manobo,6
Guarayu,Rade,7
Guarayu,Akawaio-Ingariko,8
Guarayu,Dakaka,9
Guarayu,Jehai,10
Gujarati,Assamese,1
Gujarati,Bodo-Mech,2
Gujarati,Odia,3
Gujarati,Manipuri,4
Gujarati,Bengali,5
Gujarati,Marathi,6
Gujarati,Kok Borok,7
Gujarati,Hindi,8
Gujarati,Eastern Panjabi,9
Gujarati,Latin,10
Gulf Arabic,Sanaani Arabic,1
Gulf Arabic,Gilit Mesopotamian Arabic,2
Gulf Arabic,Moroccan Arabic,3
Gulf Arabic,Levantine Arabic,4
Gulf Arabic,Turkmen,5
Gulf Arabic,Bulgarian,6
Gulf Arabic,Northern Uzbek,7
Gulf Arabic,Mushungulu,8
Gulf Arabic,Somali,9
Gulf Arabic,Egyptian Arabic,10
Gungu,Nyole,1
Gungu,Gwere,2
Gungu,Talinga-Bwisi,3
Gungu,Shilluk,4
Gungu,Central Dagaare,5
Gungu,Mbukushu,6
Gungu,Luo,7
Gungu,Kamba,8
Gungu,Chang Naga,9
Gungu,Ibibio,10
Gwere,Nyole,1
Gwere,Gungu,2
Gwere,Talinga-Bwisi,3
Gwere,Shilluk,4
Gwere,Kamba,5
Gwere,Ncane-Mungong,6
Gwere,Chang Naga,7
Gwere,Agusan Manobo,8
Gwere,Lokono,9
Gwere,Ganda,10
Ha,Karamojong,1
Ha,Sidamo,2
Ha,Zigula-Mushungulu,3
Ha,Southern Sotho,4
Ha,Ndau,5
Ha,Ganda,6
Ha,Iraqw,7
Ha,Southwestern Dinka,8
Ha,Lozi,9
Ha,Naro,10
Haisla,Heiltsuk-Oowekyala,1
Haisla,Bella Coola,2
Haisla,Kwak'wala,3
Haisla,Squamish,4
Haisla,Aleut,5
Haisla,Central Siberian Yupik,6
Haisla,Upper Chehalis,7
Haisla,Tanacross,8
Haisla,Ahtena,9
Haisla,Dena'ina,10
Haitian,Media Lengua,1
Haitian,Papiamento,2
Haitian,Sudanese Arabic,3
Haitian,Western Frisian,4
Haitian,Ladino,5
Haitian,Chadian Arabic,6
Haitian,Tok Pisin,7
Haitian,Javanese,8
Haitian,Louisiana Creole French,9
Haitian,Kinshasa Lingala,10
Hakka Chinese,Min Dong Chinese,1
Hakka Chinese,Min Nan Chinese,2
Hakka Chinese,Yue Chinese,3
Hakka Chinese,Beijing Mandarin,4
Hakka Chinese,Middle Chinese,5
Hakka Chinese,Old Chinese,6
Hakka Chinese,Mandarin Chinese,7
Hakka Chinese,Tai Nüa,8
Hakka Chinese,Southern Jinghpaw,9
Hakka Chinese,Lepcha,10
Halh Mongolian,Kazakh,1
Halh Mongolian,Uighur,2
Halh Mongolian,North Azerbaijani,3
Halh Mongolian,Central Khmer,4
Halh Mongolian,Lao,5
Halh Mongolian,Central Kurdish,6
Halh Mongolian,Tibetan,7
Halh Mongolian,Middle Chinese,8
Halh Mongolian,Leh Ladakhi,9
Halh Mongolian,Georgian,10
Hausa,Central Kanuri,1
Hausa,Pulaar,2
Hausa,Mandinka,3
Hausa,Nupe-Nupe-Tako,4
Hausa,Swahili,5
Hausa,Somali,6
Hausa,Gambian Wolof,7
Hausa,Ga,8
Hausa,Chadian Arabic,9
Hausa,Igbo,10
Havasupai-Walapai-Yavapai,Cahuilla,1
Havasupai-Walapai-Yavapai,Tohono O'odham,2
Havasupai-Walapai-Yavapai,Alabama,3
Havasupai-Walapai-Yavapai,Northwest Sahaptin,4
Havasupai-Walapai-Yavapai,Coast Miwok,5
